date,taiex_close,verdict,label,flow_score,stock_confirmed,warning_active,confidence,insufficient_data,forward_days,forward_return_pct,max_favorable_pct,max_adverse_pct,long_win,risk_off_win
2025-03-21,22209.1,REVERSAL_CONFIRMED,確認轉折,2,True,False,0,False,5,-2.7296,0.2886,-2.7296,False,True
2025-03-24,22106.64,NEUTRAL,中性／觀察,0,True,False,0,False,5,-6.3815,0.7534,-6.3815,False,True
2025-03-25,22273.19,REVERSAL_CONFIRMED,確認轉折,3,True,False,0,False,5,-4.4584,-0.0579,-7.0816,False,True
2025-03-26,22260.29,REVERSAL_CONFIRMED,確認轉折,3,True,False,0,False,5,-4.3219,-1.386,-7.0277,False,True
2025-03-27,21951.76,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,5,-12.3881,-1.5893,-12.3881,False,True
2025-03-28,21602.89,PANIC_CONTINUES,恐慌持續,0,False,False,0,False,5,-14.5487,-1.4103,-14.5487,False,True
2025-03-31,20695.9,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,5,-15.9652,2.9103,-15.9652,False,True
2025-04-01,21280.17,BOUNCE_BREWING,醞釀反彈,2,False,False,0,False,5,-10.7149,0.0848,-18.2725,False,True
2025-04-02,21298.22,BOUNCE_BREWING,醞釀反彈,4,False,False,0,False,5,-8.308,-8.308,-18.3417,False,True
2025-04-07,19232.35,NEUTRAL,中性／觀察,1,True,True,0,False,5,1.4597,1.5413,-9.5703,True,False
2025-04-08,18459.95,NEUTRAL,中性／觀察,0,True,False,0,False,5,7.5716,7.5716,-5.7865,True,False
2025-04-09,17391.76,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,5,11.9381,14.1786,9.2473,True,False
2025-04-10,19000.03,BOUNCE_BREWING,醞釀反彈,3,False,False,0,False,5,1.7826,4.5139,1.7826,True,False
2025-04-11,19528.77,BOUNCE_BREWING,醞釀反彈,4,False,False,0,False,5,-0.6848,1.6842,-0.9731,False,True
2025-04-14,19513.09,BOUNCE_BREWING,醞釀反彈,3,False,False,0,False,5,-2.0852,1.7659,-2.0852,False,True
2025-04-15,19857.67,BOUNCE_BREWING,醞釀反彈,4,False,False,0,False,5,-5.3593,-1.9623,-5.3593,False,True
2025-04-16,19468.0,BOUNCE_BREWING,醞釀反彈,3,False,False,0,False,5,0.8791,0.8791,-3.465,True,False
2025-04-17,19338.73,BOUNCE_BREWING,醞釀反彈,3,False,False,0,False,5,0.7243,1.5534,-2.8197,True,False
2025-04-18,19395.03,BOUNCE_BREWING,醞釀反彈,2,False,False,0,False,5,2.463,2.463,-3.1018,True,False
2025-04-21,19106.2,NEUTRAL,中性／觀察,1,False,False,0,False,5,4.8582,4.8582,-1.637,True,False
2025-04-22,18793.43,PANIC_CONTINUES,恐慌持續,0,False,False,0,False,5,7.658,7.658,3.6469,True,False
2025-04-23,19639.14,BOUNCE_BREWING,醞釀反彈,2,False,False,0,False,5,3.0342,3.0342,-0.8164,True,False
2025-04-24,19478.81,REVERSAL_CONFIRMED,確認轉折,2,True,False,0,False,5,6.7193,6.7193,2.0223,True,False
